pipeline,sample_id,sequence,frame_number,field_occlusion_label,auto_severity,status,mean_bone_length,left_right_bone_symmetry_error,joint_angle_feasibility
SAM-3DBody,field_all_fb_21152,RebarPlacement_00,3292,partial,mild,ok,0.2785895394998925,0.006195769436843017,1.0
SAM-3DBody,field_all_fb_21371,RebarPlacement_00,3511,partial,mild,ok,0.27728474008524484,0.0063522474776298585,1.0
SAM-3DBody,field_all_fb_22124,RebarPlacement_00,4264,partial,mild,ok,0.2811731585706009,0.00721083521892825,1.0
SAM-3DBody,field_all_fb_24481,RebarPlacement_00,6621,partial,mild,ok,0.27708049696148257,0.022568988975523143,1.0
SAM-3DBody,field_all_fb_26868,RebarTying_01,500,partial,mild,ok,0.2702243811027678,0.004954362603772285,1.0
SAM-3DBody,field_all_fb_27431,RebarTying_01,1063,partial,mild,ok,0.2735925140154507,0.0034090764909966063,1.0
SAM-3DBody,field_all_fb_27899,RebarTying_01,1531,partial,mild,ok,0.2707183212235381,0.01006483960621272,1.0
SAM-3DBody,field_all_fb_28450,RebarTying_02,383,partial,mild,ok,0.2796204515078103,0.02368171468870992,1.0
SAM-3DBody,field_all_fb_28911,RebarTying_02,844,partial,mild,ok,0.2841567053428063,0.016786338565419407,1.0
SAM-3DBody,field_all_fb_29110,RebarTying_02,1043,partial,mild,ok,0.2724262807506855,0.019295404525705512,1.0
SAM-3DBody,field_all_fb_29277,RebarTying_02,1210,partial,mild,ok,0.27796898833678174,0.00909319554577632,1.0
SAM-3DBody,field_all_fb_29444,RebarTying_02,1377,partial,mild,ok,0.27674840867633577,0.006522927138356792,1.0
SAM-3DBody,field_all_fb_29605,RebarTying_02,1538,partial,mild,ok,0.2744204766691477,0.0069780429192272606,1.0
SAM-3DBody,field_all_fb_29770,RebarTying_02,1703,partial,moderate,ok,0.2754163796365263,0.014351925999921465,1.0
SAM-3DBody,field_all_fb_29920,RebarTying_02,1853,partial,moderate,ok,0.2756105569798374,0.0040100442320152915,1.0
SAM-3DBody,field_all_fb_30585,WallPlacement_00,600,partial,mild,ok,0.28913916671289464,0.006833570453535449,1.0
SAM-3DBody,field_all_fb_31934,WallPlacement_00,1949,partial,mild,ok,0.28527904625822376,0.023844286321362606,1.0
SAM-3DBody,field_all_fb_32085,WallPlacement_00,2100,partial,mild,ok,0.28261366662782483,0.022845678774965284,1.0
SAM-3DBody,field_all_fb_33519,WallPlacement_00,3534,partial,mild,ok,0.2856391830982789,0.010628187750320088,1.0
SAM-3DBody,field_all_fb_33696,WallPlacement_00,3711,partial,mild,ok,0.28362608701702047,0.01965857870020758,1.0
SAM-3DBody,field_all_fb_34223,WallPlacement_00,4238,partial,mild,ok,0.28540864747703,0.022309281983828994,1.0
SAM-3DBody,field_all_fb_34378,WallPlacement_00,4393,partial,mild,ok,0.2857485236925623,0.022224054893421937,1.0
SAM-3DBody,field_all_fb_34738,WallPlacement_00,4753,partial,mild,ok,0.28117354312909376,0.015064826602304772,1.0
SAM-3DBody,field_all_fb_35173,WallPlacement_00,5188,partial,mild,ok,0.2855884543162787,0.022416747105688226,1.0
SAM-3DBody,field_all_fb_35353,WallPlacement_00,5368,partial,mild,ok,0.285399774208382,0.022637868588339858,1.0
SAM-3DBody,field_all_fb_35510,WallPlacement_00,5525,partial,mild,ok,0.2852080556935128,0.02322224556282825,1.0
SAM-3DBody,field_all_fb_35669,WallPlacement_00,5684,partial,mild,ok,0.2857752974288989,0.023545336629217567,1.0
SAM-3DBody,field_all_fb_35972,WallPlacement_00,5987,partial,mild,ok,0.27941656571269746,0.013106422148012666,1.0
SAM-3DBody,field_all_fb_38209,WallPlacement_00,8224,partial,mild,ok,0.2897042561353057,0.013776257017540235,1.0
SAM-3DBody,field_all_fb_38912,WallPlacement_00,8927,partial,moderate,ok,0.2786096891956864,0.013895823417723233,1.0
SAM-3DBody,field_all_fb_40302,WallPlacement_00,10317,partial,mild,ok,0.29282000901824756,0.004557415936056942,1.0
