frame,Neck,Trunk,Leg,UpperArm,LowerArm,Wrist,A,B,C,Final
288,2,3,4,2,2,2,7,3,7,7
289,2,3,4,2,2,2,7,3,7,7
290,2,3,4,2,2,2,7,3,7,7
291,2,3,4,2,2,2,7,3,7,7
292,2,3,4,2,2,2,7,3,7,7
293,2,3,4,2,2,2,7,3,7,7
294,2,3,4,2,2,2,7,3,7,7
295,2,3,4,2,2,2,7,3,7,7
296,2,3,4,2,2,2,7,3,7,7
297,2,3,4,2,2,2,7,3,7,7
298,2,3,4,2,2,2,7,3,7,7
299,2,3,4,2,2,2,7,3,7,7
300,2,3,4,2,2,2,7,3,7,7
301,2,3,4,2,2,2,7,3,7,7
302,2,3,4,2,2,2,7,3,7,7
303,2,3,4,2,2,2,7,3,7,7
304,2,3,4,2,2,2,7,3,7,7
305,2,3,4,2,2,2,7,3,7,7
306,2,3,4,2,2,2,7,3,7,7
307,2,3,4,2,2,2,7,3,7,7
308,2,3,4,2,2,2,7,3,7,7
309,2,3,4,2,2,2,7,3,7,7
310,2,3,4,2,2,2,7,3,7,7
311,2,3,4,2,2,2,7,3,7,7
312,2,3,4,2,2,2,7,3,7,7
313,2,3,4,2,2,2,7,3,7,7
314,2,3,4,2,2,2,7,3,7,7
315,2,3,4,2,2,2,7,3,7,7
316,2,3,4,2,2,2,7,3,7,7
317,2,3,4,2,2,2,7,3,7,7
318,2,3,4,2,2,2,7,3,7,7
319,2,3,4,2,2,2,7,3,7,7
320,2,3,4,2,2,2,7,3,7,7
321,2,3,4,2,2,2,7,3,7,7
322,2,3,4,2,2,2,7,3,7,7
323,2,3,4,2,2,2,7,3,7,7
324,2,3,4,2,2,2,7,3,7,7
325,2,3,4,2,1,2,7,2,7,7
326,2,3,4,2,1,2,7,2,7,7
327,2,3,4,2,2,2,7,3,7,7
328,2,3,4,2,1,2,7,2,7,7
329,2,3,4,2,2,2,7,3,7,7
330,2,3,4,2,2,2,7,3,7,7
331,2,3,4,2,2,2,7,3,7,7
332,2,3,4,2,2,2,7,3,7,7
333,2,3,4,2,2,2,7,3,7,7
334,2,3,4,2,2,2,7,3,7,7
335,2,3,4,2,2,2,7,3,7,7
336,2,3,4,2,2,2,7,3,7,7
337,2,3,4,2,2,2,7,3,7,7
338,2,3,4,2,2,2,7,3,7,7
339,2,3,4,2,2,2,7,3,7,7
340,2,3,4,2,1,2,7,2,7,7
341,2,3,4,2,2,2,7,3,7,7
342,2,3,4,2,2,2,7,3,7,7
343,2,3,4,2,2,2,7,3,7,7
344,2,3,4,2,2,2,7,3,7,7
345,2,3,4,2,1,2,7,2,7,7
